id,movie_id,actor_id
876,322,196
,,
877,322,400
,,
878,323,61
,,
879,323,333
,,
880,323,486
,,
881,324,592
,,
882,324,201
,,
883,324,427
,,
884,325,147
,,
885,325,574
,,
886,325,166
,,
887,326,95
,,
888,326,591
,,
889,326,493
,,
890,327,51
,,
891,327,279
,,
892,327,555
,,
893,328,565
,,
894,328,530
,,
895,329,72
,,
896,329,356
,,
897,330,403
,,
898,330,520
,,
899,330,64
,,
900,331,279
,,
901,331,51
,,
902,331,418
,,
903,332,311
,,
904,333,254
,,
905,333,260
,,
906,334,511
,,
907,334,254
,,
908,334,354
,,
909,335,30
,,
910,335,57
,,
911,335,31
,,
912,336,242
,,
913,336,175
,,
914,336,96
,,
915,337,281
,,
916,337,590
,,
917,337,156
,,
918,338,288
,,
919,338,111
,,
920,338,125
,,
921,339,386
,,
922,339,359
,,
923,339,6
,,
924,340,147
,,
925,340,166
,,
926,340,574
,,
927,341,432
,,
928,341,401
,,
929,341,367
,,
930,342,113
,,
931,342,562
,,
932,342,525
,,
933,343,285
,,
934,343,150
,,
935,343,172
,,
936,344,193
,,
937,344,515
,,
938,344,480
,,
939,345,165
,,
940,345,390
,,
941,345,149
,,
942,346,566
,,
943,346,522
,,
944,347,509
,,
945,347,193
,,
946,347,501
,,
947,348,208
,,
948,348,575
,,
949,348,581
,,
950,349,154
,,
951,349,319
,,
952,349,522
,,
953,350,200
,,
954,350,189
,,
955,350,247
,,
956,351,239
,,
957,351,180
,,
958,352,604
,,
959,352,211
,,
960,352,327
,,
961,353,161
,,
962,353,235
,,
963,353,345
,,
964,354,417
,,
965,354,48
,,
966,355,593
,,
967,355,289
,,
968,355,342
,,
969,356,561
,,
970,356,147
,,
971,356,146
,,
972,357,552
,,
973,357,130
,,
974,357,527
,,
975,358,131
,,
976,358,492
,,
977,359,256
,,
978,359,58
,,
979,360,584
,,
980,360,468
,,
981,360,531
,,
982,361,352
,,
983,362,217
,,
984,362,303
,,
985,363,131
,,
986,363,492
,,
987,363,124
,,
988,364,424
,,
989,364,381
,,
990,364,313
,,
991,365,175
,,
992,365,356
,,
993,365,518
,,
994,366,95
,,
995,366,343
,,
996,366,164
,,
997,367,434
,,
998,367,427
,,
999,368,174
,,
1000,368,183
,,
1001,369,255
,,
1002,369,152
,,
1003,369,516
,,
1004,370,380
,,
1005,370,37
,,
1006,370,444
,,
1007,371,442
,,
1008,371,252
,,
1009,372,487
,,
1010,372,4
,,
1011,372,408
,,
1012,373,469
,,
1013,373,304
,,
1014,373,605
,,
1015,374,604
,,
1016,374,327
,,
1017,374,119
,,
1018,375,611
,,
1019,376,592
,,
1020,376,61
,,
1021,376,471
,,
1022,377,14
,,
1023,377,543
,,
1024,378,4
,,
1025,378,18
,,
1026,378,441
,,
1027,379,593
,,
1028,379,38
,,
1029,380,421
,,
1030,380,335
,,
1031,380,573
,,
1032,381,483
,,
1033,381,274
,,
1034,382,94
,,
1035,382,307
,,
1036,382,219
,,
1037,383,191
,,
1038,383,205
,,
1039,383,334
,,
1040,384,362
,,
1041,384,557
,,
1042,384,508
,,
1043,385,62
,,
1044,385,40
,,
1045,385,201
,,
1046,386,76
,,
1047,386,152
